"Electricity statistics by Region, Technology, Data Type and Year"

"Region","Technology","Data Type","Year",Electricity statistics
"World","Hydropower (excl. Pumped Storage)","Electricity Installed Capacity (MW)","2016",1135993.55
"World","Hydropower (excl. Pumped Storage)","Electricity Installed Capacity (MW)","2017",1154453.24
"World","Hydropower (excl. Pumped Storage)","Electricity Installed Capacity (MW)","2018",1173417.39
"World","Hydropower (excl. Pumped Storage)","Electricity Installed Capacity (MW)","2019",1189468.51
"World","Hydropower (excl. Pumped Storage)","Electricity Installed Capacity (MW)","2020",1209756.47
"World","Hydropower (excl. Pumped Storage)","Electricity Installed Capacity (MW)","2021",1233037.43
"World","Hydropower (excl. Pumped Storage)","Electricity Installed Capacity (MW)","2022",1256962.76
"World","Hydropower (excl. Pumped Storage)","Electricity Installed Capacity (MW)","2023",1267306.77
"World","Hydropower (excl. Pumped Storage)","Electricity Installed Capacity (MW)","2024",1276622.38
"World","Hydropower (excl. Pumped Storage)","Electricity Generation (GWh)","2000",2619126.81
"World","Hydropower (excl. Pumped Storage)","Electricity Generation (GWh)","2001",2557776.83
"World","Hydropower (excl. Pumped Storage)","Electricity Generation (GWh)","2002",2626828.70
"World","Hydropower (excl. Pumped Storage)","Electricity Generation (GWh)","2003",2627632.32
"World","Hydropower (excl. Pumped Storage)","Electricity Generation (GWh)","2004",2802302.47
"World","Hydropower (excl. Pumped Storage)","Electricity Generation (GWh)","2005",2919237.08
"World","Hydropower (excl. Pumped Storage)","Electricity Generation (GWh)","2006",3031274.81
"World","Hydropower (excl. Pumped Storage)","Electricity Generation (GWh)","2007",3068469.38
"World","Hydropower (excl. Pumped Storage)","Electricity Generation (GWh)","2008",3217181.63
"World","Hydropower (excl. Pumped Storage)","Electricity Generation (GWh)","2009",3267053.21
"World","Hydropower (excl. Pumped Storage)","Electricity Generation (GWh)","2010",3437749.06
"World","Hydropower (excl. Pumped Storage)","Electricity Generation (GWh)","2011",3514036.78
"World","Hydropower (excl. Pumped Storage)","Electricity Generation (GWh)","2012",3692513.53
"World","Hydropower (excl. Pumped Storage)","Electricity Generation (GWh)","2013",3791207.43
"World","Hydropower (excl. Pumped Storage)","Electricity Generation (GWh)","2014",3895421.92
"World","Hydropower (excl. Pumped Storage)","Electricity Generation (GWh)","2015",3897497.59
"World","Hydropower (excl. Pumped Storage)","Electricity Generation (GWh)","2016",4037659.67
"World","Hydropower (excl. Pumped Storage)","Electricity Generation (GWh)","2017",4089207.40
"World","Hydropower (excl. Pumped Storage)","Electricity Generation (GWh)","2018",4207213.04
"World","Hydropower (excl. Pumped Storage)","Electricity Generation (GWh)","2019",4252819.21
"World","Hydropower (excl. Pumped Storage)","Electricity Generation (GWh)","2020",4368382.73
"World","Hydropower (excl. Pumped Storage)","Electricity Generation (GWh)","2021",4296867.12
"World","Hydropower (excl. Pumped Storage)","Electricity Generation (GWh)","2022",4341836.25
"World","Hydropower (excl. Pumped Storage)","Electricity Generation (GWh)","2023",4270210.04
"World","Hydropower (excl. Pumped Storage)","Electricity Generation (GWh)","2024",-
"World","Marine energy","Electricity Installed Capacity (MW)","2000",238.25
"World","Marine energy","Electricity Installed Capacity (MW)","2001",240.25
"World","Marine energy","Electricity Installed Capacity (MW)","2002",243.25
"World","Marine energy","Electricity Installed Capacity (MW)","2003",244.25
"World","Marine energy","Electricity Installed Capacity (MW)","2004",243.25
"World","Marine energy","Electricity Installed Capacity (MW)","2005",241.25
"World","Marine energy","Electricity Installed Capacity (MW)","2006",240.25
"World","Marine energy","Electricity Installed Capacity (MW)","2007",242.55
"World","Marine energy","Electricity Installed Capacity (MW)","2008",245.55
"World","Marine energy","Electricity Installed Capacity (MW)","2009",244.55
"World","Marine energy","Electricity Installed Capacity (MW)","2010",249.90
"World","Marine energy","Electricity Installed Capacity (MW)","2011",247.93
"World","Marine energy","Electricity Installed Capacity (MW)","2012",254.66
"World","Marine energy","Electricity Installed Capacity (MW)","2013",509.97
"World","Marine energy","Electricity Installed Capacity (MW)","2014",512.78
"World","Marine energy","Electricity Installed Capacity (MW)","2015",513.29
"World","Marine energy","Electricity Installed Capacity (MW)","2016",523.91
"World","Marine energy","Electricity Installed Capacity (MW)","2017",526.87
"World","Marine energy","Electricity Installed Capacity (MW)","2018",526.85
"World","Marine energy","Electricity Installed Capacity (MW)","2019",524.83
"World","Marine energy","Electricity Installed Capacity (MW)","2020",491.14
"World","Marine energy","Electricity Installed Capacity (MW)","2021",490.56
"World","Marine energy","Electricity Installed Capacity (MW)","2022",492.14
"World","Marine energy","Electricity Installed Capacity (MW)","2023",492.09
"World","Marine energy","Electricity Installed Capacity (MW)","2024",493.69
"World","Marine energy","Electricity Generation (GWh)","2000",546.77
"World","Marine energy","Electricity Generation (GWh)","2001",524.39
"World","Marine energy","Electricity Generation (GWh)","2002",533.89
"World","Marine energy","Electricity Generation (GWh)","2003",530.83
"World","Marine energy","Electricity Generation (GWh)","2004",508.63
"World","Marine energy","Electricity Generation (GWh)","2005",516.35
"World","Marine energy","Electricity Generation (GWh)","2006",490.72
"World","Marine energy","Electricity Generation (GWh)","2007",496.02
"World","Marine energy","Electricity Generation (GWh)","2008",487.85
"World","Marine energy","Electricity Generation (GWh)","2009",486.92
"World","Marine energy","Electricity Generation (GWh)","2010",514.32
"World","Marine energy","Electricity Generation (GWh)","2011",513.46
"World","Marine energy","Electricity Generation (GWh)","2012",498.35
"World","Marine energy","Electricity Generation (GWh)","2013",925.99
"World","Marine energy","Electricity Generation (GWh)","2014",999.16
"World","Marine energy","Electricity Generation (GWh)","2015",1008.00
"World","Marine energy","Electricity Generation (GWh)","2016",1043.85
"World","Marine energy","Electricity Generation (GWh)","2017",1049.56
"World","Marine energy","Electricity Generation (GWh)","2018",1022.77
"World","Marine energy","Electricity Generation (GWh)","2019",996.35
"World","Marine energy","Electricity Generation (GWh)","2020",986.38
"World","Marine energy","Electricity Generation (GWh)","2021",972.33
"World","Marine energy","Electricity Generation (GWh)","2022",957.63
"World","Marine energy","Electricity Generation (GWh)","2023",919.27
"World","Marine energy","Electricity Generation (GWh)","2024",-
"World","Bioenergy","Electricity Installed Capacity (MW)","2000",31108.18
"World","Bioenergy","Electricity Installed Capacity (MW)","2001",33535.61
"World","Bioenergy","Electricity Installed Capacity (MW)","2002",35491.46
"World","Bioenergy","Electricity Installed Capacity (MW)","2003",38370.58
"World","Bioenergy","Electricity Installed Capacity (MW)","2004",40744.42
"World","Bioenergy","Electricity Installed Capacity (MW)","2005",45436.98
"World","Bioenergy","Electricity Installed Capacity (MW)","2006",49710.57
"World","Bioenergy","Electricity Installed Capacity (MW)","2007",52710.14
"World","Bioenergy","Electricity Installed Capacity (MW)","2008",56138.98
"World","Bioenergy","Electricity Installed Capacity (MW)","2009",63931.19
"World","Bioenergy","Electricity Installed Capacity (MW)","2010",68221.84
"World","Bioenergy","Electricity Installed Capacity (MW)","2011",74445.67
"World","Bioenergy","Electricity Installed Capacity (MW)","2012",78393.89
"World","Bioenergy","Electricity Installed Capacity (MW)","2013",85043.61
"World","Bioenergy","Electricity Installed Capacity (MW)","2014",89909.79
"World","Bioenergy","Electricity Installed Capacity (MW)","2015",95553.01
"World","Bioenergy","Electricity Installed Capacity (MW)","2016",103986.93
"World","Bioenergy","Electricity Installed Capacity (MW)","2017",109762.45
"World","Bioenergy","Electricity Installed Capacity (MW)","2018",116860.03
"World","Bioenergy","Electricity Installed Capacity (MW)","2019",122644.22
"World","Bioenergy","Electricity Installed Capacity (MW)","2020",130658.20
"World","Bioenergy","Electricity Installed Capacity (MW)","2021",137296.72
"World","Bioenergy","Electricity Installed Capacity (MW)","2022",143564.56
"World","Bioenergy","Electricity Installed Capacity (MW)","2023",146191.86
"World","Bioenergy","Electricity Installed Capacity (MW)","2024",151264.07
"World","Bioenergy","Electricity Generation (GWh)","2000",146422.47
"World","Bioenergy","Electricity Generation (GWh)","2001",146449.45
"World","Bioenergy","Electricity Generation (GWh)","2002",160162.70
"World","Bioenergy","Electricity Generation (GWh)","2003",173036.72
"World","Bioenergy","Electricity Generation (GWh)","2004",188242.41
"World","Bioenergy","Electricity Generation (GWh)","2005",208990.22
"World","Bioenergy","Electricity Generation (GWh)","2006",221633.04
"World","Bioenergy","Electricity Generation (GWh)","2007",245019.23
"World","Bioenergy","Electricity Generation (GWh)","2008",263472.42
"World","Bioenergy","Electricity Generation (GWh)","2009",281666.12
"World","Bioenergy","Electricity Generation (GWh)","2010",317294.75
"World","Bioenergy","Electricity Generation (GWh)","2011",335001.68
"World","Bioenergy","Electricity Generation (GWh)","2012",370592.95
"World","Bioenergy","Electricity Generation (GWh)","2013",397302.56
"World","Bioenergy","Electricity Generation (GWh)","2014",428781.85
"World","Bioenergy","Electricity Generation (GWh)","2015",456381.75
"World","Bioenergy","Electricity Generation (GWh)","2016",471311.12
"World","Bioenergy","Electricity Generation (GWh)","2017",493861.34
"World","Bioenergy","Electricity Generation (GWh)","2018",517088.54
"World","Bioenergy","Electricity Generation (GWh)","2019",546771.65
"World","Bioenergy","Electricity Generation (GWh)","2020",569263.12
"World","Bioenergy","Electricity Generation (GWh)","2021",612053.19
"World","Bioenergy","Electricity Generation (GWh)","2022",622497.14
"World","Bioenergy","Electricity Generation (GWh)","2023",631518.51
"World","Bioenergy","Electricity Generation (GWh)","2024",-
"World","Geothermal energy","Electricity Installed Capacity (MW)","2000",8272.70
"World","Geothermal energy","Electricity Installed Capacity (MW)","2001",7960.70
"World","Geothermal energy","Electricity Installed Capacity (MW)","2002",8113.20
"World","Geothermal energy","Electricity Installed Capacity (MW)","2003",8188.10
"World","Geothermal energy","Electricity Installed Capacity (MW)","2004",8208.80
"World","Geothermal energy","Electricity Installed Capacity (MW)","2005",8555.82
"World","Geothermal energy","Electricity Installed Capacity (MW)","2006",8758.72
"World","Geothermal energy","Electricity Installed Capacity (MW)","2007",9012.74
"World","Geothermal energy","Electricity Installed Capacity (MW)","2008",9319.02
"World","Geothermal energy","Electricity Installed Capacity (MW)","2009",9754.42
"World","Geothermal energy","Electricity Installed Capacity (MW)","2010",9914.72
"World","Geothermal energy","Electricity Installed Capacity (MW)","2011",10058.47
"World","Geothermal energy","Electricity Installed Capacity (MW)","2012",10517.57
"World","Geothermal energy","Electricity Installed Capacity (MW)","2013",10786.37
"World","Geothermal energy","Electricity Installed Capacity (MW)","2014",11244.42
"World","Geothermal energy","Electricity Installed Capacity (MW)","2015",11843.47
"World","Geothermal energy","Electricity Installed Capacity (MW)","2016",12169.37
"World","Geothermal energy","Electricity Installed Capacity (MW)","2017",12753.98
"World","Geothermal energy","Electricity Installed Capacity (MW)","2018",13196.48
"World","Geothermal energy","Electricity Installed Capacity (MW)","2019",13823.76
"World","Geothermal energy","Electricity Installed Capacity (MW)","2020",14164.78
"World","Geothermal energy","Electricity Installed Capacity (MW)","2021",14450.98
"World","Geothermal energy","Electricity Installed Capacity (MW)","2022",14695.64
"World","Geothermal energy","Electricity Installed Capacity (MW)","2023",15091.52
"World","Geothermal energy","Electricity Installed Capacity (MW)","2024",15411.61
"World","Geothermal energy","Electricity Generation (GWh)","2000",52571.04
"World","Geothermal energy","Electricity Generation (GWh)","2001",51678.62
"World","Geothermal energy","Electricity Generation (GWh)","2002",52604.68
"World","Geothermal energy","Electricity Generation (GWh)","2003",53775.78
"World","Geothermal energy","Electricity Generation (GWh)","2004",56060.82
"World","Geothermal energy","Electricity Generation (GWh)","2005",58466.67
"World","Geothermal energy","Electricity Generation (GWh)","2006",59769.35
"World","Geothermal energy","Electricity Generation (GWh)","2007",62668.88
"World","Geothermal energy","Electricity Generation (GWh)","2008",65262.18
"World","Geothermal energy","Electricity Generation (GWh)","2009",67289.73
"World","Geothermal energy","Electricity Generation (GWh)","2010",68436.18
"World","Geothermal energy","Electricity Generation (GWh)","2011",69796.18
"World","Geothermal energy","Electricity Generation (GWh)","2012",70876.70
"World","Geothermal energy","Electricity Generation (GWh)","2013",72408.02
"World","Geothermal energy","Electricity Generation (GWh)","2014",77343.67
"World","Geothermal energy","Electricity Generation (GWh)","2015",81228.85
"World","Geothermal energy","Electricity Generation (GWh)","2016",83240.84
"World","Geothermal energy","Electricity Generation (GWh)","2017",86705.04
"World","Geothermal energy","Electricity Generation (GWh)","2018",89464.92
"World","Geothermal energy","Electricity Generation (GWh)","2019",92001.80
"World","Geothermal energy","Electricity Generation (GWh)","2020",95452.99
"World","Geothermal energy","Electricity Generation (GWh)","2021",94618.03
"World","Geothermal energy","Electricity Generation (GWh)","2022",97277.01
"World","Geothermal energy","Electricity Generation (GWh)","2023",98158.58
"World","Geothermal energy","Electricity Generation (GWh)","2024",-
"World","Total non-renewable","Electricity Installed Capacity (MW)","2000",2707904.80
"World","Total non-renewable","Electricity Installed Capacity (MW)","2001",2776754.44
"World","Total non-renewable","Electricity Installed Capacity (MW)","2002",2885420.19
"World","Total non-renewable","Electricity Installed Capacity (MW)","2003",3007185.62
"World","Total non-renewable","Electricity Installed Capacity (MW)","2004",3099083.84
"World","Total non-renewable","Electricity Installed Capacity (MW)","2005",3204066.49
"World","Total non-renewable","Electricity Installed Capacity (MW)","2006",3342902.73
"World","Total non-renewable","Electricity Installed Capacity (MW)","2007",3472008.83
"World","Total non-renewable","Electricity Installed Capacity (MW)","2008",3575828.23
"World","Total non-renewable","Electricity Installed Capacity (MW)","2009",3698003.55
"World","Total non-renewable","Electricity Installed Capacity (MW)","2010",3851182.50
"World","Total non-renewable","Electricity Installed Capacity (MW)","2011",3981455.03
"World","Total non-renewable","Electricity Installed Capacity (MW)","2012",4094333.55
"World","Total non-renewable","Electricity Installed Capacity (MW)","2013",4202423.62
"World","Total non-renewable","Electricity Installed Capacity (MW)","2014",4316667.20
"World","Total non-renewable","Electricity Installed Capacity (MW)","2015",4424980.54
"World","Total non-renewable","Electricity Installed Capacity (MW)","2016",4531017.49
"World","Total non-renewable","Electricity Installed Capacity (MW)","2017",4624621.33
"World","Total non-renewable","Electricity Installed Capacity (MW)","2018",4764924.12
"World","Total non-renewable","Electricity Installed Capacity (MW)","2019",4817572.82
"World","Total non-renewable","Electricity Installed Capacity (MW)","2020",4883173.07
"World","Total non-renewable","Electricity Installed Capacity (MW)","2021",4947365.95
"World","Total non-renewable","Electricity Installed Capacity (MW)","2022",5021924.82
"World","Total non-renewable","Electricity Installed Capacity (MW)","2023",5109891.77
"World","Total non-renewable","Electricity Installed Capacity (MW)","2024",5167044.97
"World","Total non-renewable","Electricity Generation (GWh)","2000",12704808.18
"World","Total non-renewable","Electricity Generation (GWh)","2001",12870083.62
"World","Total non-renewable","Electricity Generation (GWh)","2002",13379331.10
"World","Total non-renewable","Electricity Generation (GWh)","2003",13938478.15
"World","Total non-renewable","Electricity Generation (GWh)","2004",14488573.41
"World","Total non-renewable","Electricity Generation (GWh)","2005",15088935.35
"World","Total non-renewable","Electricity Generation (GWh)","2006",15645229.81
"World","Total non-renewable","Electricity Generation (GWh)","2007",16358634.09
"World","Total non-renewable","Electricity Generation (GWh)","2008",16552869.73
"World","Total non-renewable","Electricity Generation (GWh)","2009",16323690.16
"World","Total non-renewable","Electricity Generation (GWh)","2010",17381041.77
"World","Total non-renewable","Electricity Generation (GWh)","2011",17890091.92
"World","Total non-renewable","Electricity Generation (GWh)","2012",18096394.16
"World","Total non-renewable","Electricity Generation (GWh)","2013",18467764.26
"World","Total non-renewable","Electricity Generation (GWh)","2014",18544826.17
"World","Total non-renewable","Electricity Generation (GWh)","2015",18748703.60
"World","Total non-renewable","Electricity Generation (GWh)","2016",19039061.99
"World","Total non-renewable","Electricity Generation (GWh)","2017",19485277.42
"World","Total non-renewable","Electricity Generation (GWh)","2018",20038745.93
"World","Total non-renewable","Electricity Generation (GWh)","2019",20083313.47
"World","Total non-renewable","Electricity Generation (GWh)","2020",19559638.13
"World","Total non-renewable","Electricity Generation (GWh)","2021",20521950.53
"World","Total non-renewable","Electricity Generation (GWh)","2022",20694734.61
"World","Total non-renewable","Electricity Generation (GWh)","2023",20938689.59
"World","Total non-renewable","Electricity Generation (GWh)","2024",-
"World","Pumped storage","Electricity Installed Capacity (MW)","2000",80838.55
"World","Pumped storage","Electricity Installed Capacity (MW)","2001",77722.55
"World","Pumped storage","Electricity Installed Capacity (MW)","2002",79137.55
"World","Pumped storage","Electricity Installed Capacity (MW)","2003",79297.55
"World","Pumped storage","Electricity Installed Capacity (MW)","2004",80423.55
"World","Pumped storage","Electricity Installed Capacity (MW)","2005",83266.55
"World","Pumped storage","Electricity Installed Capacity (MW)","2006",85960.55
"World","Pumped storage","Electricity Installed Capacity (MW)","2007",90139.55
"World","Pumped storage","Electricity Installed Capacity (MW)","2008",91926.55
